1480,3586,832,328,82,750,1,1
1490,3686,877,328,82,795,1,1
1500,3524,904,328,82,822,1,1
1510,3273,883,328,82,801,1,1
1520,3199,838,328,82,756,1,1
1530,3381,815,328,82,733,1,1
1540,3625,840,328,82,758,1,1
1550,3672,885,328,82,803,1,1
1560,3473,903,328,82,821,1,1
1570,494,738,328,82,656,0,0
1580,471,377,328,82,295,0,0
1590,675,145,328,82,63,0,0
1600,896,141,328,82,59,0,0
1610,926,197,328,82,115,0,0
1620,729,218,328,82,136,0,0
1630,498,190,328,82,108,0,0
1640,468,144,328,82,62,0,0
1650,660,129,328,82,47,0,0
1660,887,158,328,82,76,0,0
1670,931,202,3112,221,19,0,0
1680,736,219,3112,541,322,0,0
1690,494,190,3112,762,572,0,0
1700,478,145,3112,797,652,0,0
1710,706,132,3112,785,653,0,0
1720,923,165,3112,778,613,0,0
1730,887,208,3112,777,569,0,0
1740,638,212,3112,777,565,0,0
1750,454,173,3112,777,604,0,0
1760,540,135,3112,778,643,0,0
1770,800,139,3112,778,639,0,0
1780,944,182,3112,777,595,0,0
1790,811,215,3112,777,562,0,0
1800,550,202,3112,777,575,0,0
1810,452,157,3112,778,621,0,0
1820,627,130,3112,778,648,0,0
1830,879,152,3112,778,626,0,0
1840,927,198,3153,780,582,0,0
1850,718,216,3153,784,568,0,0
1860,484,187,3153,788,601,0,0
1870,487,143,3155,788,645,0,0
1880,724,133,3276,794,661,0,0
1890,930,168,3317,810,642,2,0
1900,875,210,3399,829,619,2,0
1910,621,211,3481,847,636,2,0
1920,451,170,3522,865,695,2,0
1930,555,133,3604,881,748,2,0
1940,817,142,3705,899,757,2,0
1950,944,185,3808,922,737,2,0
1960,795,216,3931,949,733,2,0
1970,535,199,4054,978,779,2,0
1980,456,154,4054,1003,849,2,0
1990,652,131,4054,1013,882,2,0
2000,900,156,4054,1014,858,2,0
2010,909,202,4054,1013,811,2,0
2020,669,214,4054,1013,799,2,0
2030,460,179,4054,1013,834,2,0
2040,528,138,4054,1013,875,2,0
2050,793,138,4054,1013,875,2,0
2060,944,180,4054,1013,833,2,0
2070,805,214,4054,1013,799,2,0
2080,539,200,4054,1013,813,2,0
2090,456,155,4054,1013,858,2,0
2100,655,131,4054,1013,882,2,0
2110,902,157,4054,1013,856,2,0
2120,908,202,4054,1013,811,2,0
2130,666,214,4054,1013,799,2,0
2140,459,178,4054,1013,835,2,0
2150,562,139,4054,1013,874,2,0
2160,3580,282,4054,1013,731,2,0
2170,3729,643,4054,1013,370,2,0
2180,4095,921,4054,1013,92,3,1
2190,3923,1004,4054,1013,9,3,1
2200,3860,999,4054,1013,14,3,1
2210,4072,985,4054,1013,28,3,1
2220,4095,1000,4054,1013,13,3,1
2230,4095,1019,4054,1013,6,3,1
2240,4039,1021,4054,1013,8,3,1
2250,3851,1005,4054,1013,8,3,1
2260,3949,984,4054,1013,29,3,1
2270,4095,986,4054,1013,27,3,1
2280,4095,1009,4054,1013,4,3,1
2290,4095,1023,4054,1013,10,3,1
2300,3910,1015,4054,1013,2,3,1
2310,3867,991,4054,1013,22,3,1
2320,4090,982,4054,1013,31,3,1
2330,4095,1002,4054,1013,11,3,1
2340,4095,1021,4054,1013,8,3,1
2350,4021,1021,4054,1013,8,3,1
2360,3848,1003,4054,1013,10,3,1
2370,3971,983,4054,1013,30,3,1
2380,4095,988,4054,1013,25,3,1
2390,4095,1011,4054,1013,2,3,1
2400,4095,1023,4054,1013,10,3,1
2410,3894,1014,4054,1013,1,3,1
2420,3879,990,4054,1013,23,3,1
2430,4095,982,4054,1013,31,3,1
2440,4095,1004,4054,1013,9,3,1
2450,4095,1021,4054,1013,8,3,1
2460,4003,1020,4054,1013,7,3,1
